index,area,1990in,1990out,2000in,2000out,2010in,2010out,2020in,2020out,2021in,2021out,2022in,2022out
1,서울특별시,2108138.2,2293456,2114344.7,2177762.7,1554789.8,1660382.4,1578127,1642977,1418187,1524430,96060.33333,788695.3333
2,종로구,38487,44634.6,37088.1,39240.6,25443.8,27889.3,23632,25254,22204,24428,1503.666667,13757
3,중구,25610.4,31958.8,28816.9,29071.1,21327.6,22449.8,20777,21733,19917,21126,1317.333333,9787.666667
4,용산구,46530,53286.8,48622.9,49472.9,37176.2,40085.7,40282,38985,36011,39572,2794.666667,17155
5,성동구,66144.2,73205.6,64948.6,70329.7,47062.1,49792.2,45153,53096,39831,46075,2734.666667,22758.66667
6,광진구,86704.2,91645,78790.7,83103.1,57606.1,62084.2,55926,60703,51522,56750,3666.666667,31496.33333
7,동대문구,74124.4,92188.4,79443.7,81604.8,54102.9,57279.9,54908,58135,48955,51031,3199,29142.66667
8,중랑구,99437.4,103135.6,85096.2,91084,61087.6,65745.4,60214,62212,52867,57957,3644.333333,36152.66667
9,성북구,93567.6,102971,93829.9,95796.7,66785,72360.8,62953,68231,59054,62394,3824.666667,35060
10,강북구,69581,83247.6,67958,70623.5,47061.8,50783.8,41625,46656,37057,42961,2773.666667,26952.33333
11,도봉구,82820.4,84958,72243.1,74620,45954.9,50841.2,40435,47892,36895,42682,2474.666667,30487.33333
12,노원구,127723.8,126795,116590.5,120965.5,71928.3,82085.5,68176,77707,58736,68473,3746.333333,50809.33333
13,은평구,92743.2,104011.4,96149.8,99225.8,78446.7,79355.6,76364,76165,63269,66951,4966,36380
14,서대문구,75062.4,79067.6,70458.3,75973.1,49264.7,52520.4,56504,53579,42484,47061,2925.333333,27859
15,마포구,78802.6,87279.2,84142.1,86803.6,64507.1,68016.6,66215,68667,61543,62124,4088,28417.66667
16,양천구,94209.4,99894.4,97165.6,97357.6,63942.1,70569,64081,68021,54952,60442,3676.666667,35508
17,강서구,106888.8,108869.2,115289.3,113437.5,90141.8,91933.5,87198,99573,87269,91368,6235.333333,44050
18,구로구,77512,81584.4,80556.4,81494.3,58158.7,62872.5,60885,64024,48170,54880,3351.333333,27743.66667
19,금천구,57089.2,66378,48871,52925.6,35221.7,37708.8,35753,36963,35663,35047,2669,21711.33333
20,영등포구,83183,92857,82528.8,85848.6,60609.3,67453.4,79309,68526,60565,61108,4084,29956.66667
21,동작구,85844.8,94588.4,86370.1,91131.3,66423.9,69116,64496,69650,64257,68311,4239,33539.33333
22,관악구,109624.6,127590.4,121697.1,124336.8,93592.2,99374.4,98301,103226,89756,95711,6886.666667,42858.66667
23,서초구,83105.6,86812.6,90106.3,89513.5,74667.6,77477.4,71250,77669,70064,81777,4040.333333,29877.66667
24,강남구,114550.4,120007.2,127113.6,127938.1,101417.8,106859.6,95325,101582,94082,98106,5869.333333,39798.33333
25,송파구,138287,146553,139145.3,141416.7,108444,113718.3,106928,116457,105181,113651,6644.666667,49924.33333
26,강동구,100504.8,109936.8,82424,91848.1,81445.1,87440.7,59334,68933,75101,67292,4705,37511.66667
