"행정구역(시군구)별",2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.06,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"서울특별시",104657,107739,-3082,28416,40858,40858,35383,38465,91205,93015,-1810,23625,35141,35141,32439,34249,90743,92319,-1576,23100,34536,34536,33107,34683,2726492,2817484,-90992,1972421,-,-,754071,845063,2437238,2474117,-36879,1764051,-,-,673187,710066,2395814,2500698,-104884,1764955,-,-,630859,735743,2259333,2441965,-182632,1648211,-,-,611122,793754,2240086,2476583,-236497,1666106,-,-,573980,810477,2165332,2487230,-321898,674852,928988,928988,561492,883390,2159555,2370792,-211237,682389,888765,888765,588401,799638,2074884,2253203,-178319,643543,841907,841907,589434,767753,1802931,1936944,-134013,518154,738489,738489,546288,680301,2337989,2419111,-81122,738998,929476,929476,669515,750637,2219407,2266346,-46939,705781,876648,876648,636978,683917,2295784,2409733,-113949,759346,898730,898730,637708,751657,2318051,2424472,-106421,776388,896259,896259,645404,751825,2242723,2311691,-68968,739688,870005,870005,633030,701998,1926235,1973439,-47204,606162,739186,739186,580887,628091,1990749,2041756,-51007,628013,769700,769700,593036,644043,2173907,2210458,-36551,689769,831339,831339,652799,689350,2078045,2130928,-52883,656506,792098,792098,629441,682324,2025358,2083352,-57994,633437,792776,792776,599145,657139,1873188,1925452,-52264,560864,725991,725991,586333,638597,1733015,1848038,-115023,520345,679363,679363,533307,648330,1721748,1834806,-113058,543807,671315,671315,506626,619684,1555281,1658928,-103647,473458,595842,595842,485981,589628,1520090,1620640,-100550,468394,584614,584614,467082,567632,1573594,1661425,-87831,495401,602622,602622,475571,563402,1589431,1726687,-137256,524267,605262,605262,459902,597158,1515602,1655859,-140257,487722,574193,574193,453687,593944,1472937,1571423,-98486,454536,564271,564271,454130,552616,1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366
"종로구",1565,1691,-126,226,799,909,540,556,1321,1537,-216,193,598,839,530,505,1554,1625,-71,235,689,869,630,521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38043,49716,-11673,9592,17981,26360,10470,13764,38027,44038,-6011,8904,17906,22857,11217,12277,39178,43025,-3847,8632,19089,21987,11457,12406,33844,40192,-6348,7203,16416,22001,10225,10988,43343,46202,-2859,9943,20790,24688,12610,11571,41235,42387,-1152,8939,20821,22884,11475,10564,41117,43830,-2713,9620,20579,23070,10918,11140,40764,43965,-3201,9367,20052,23238,11345,11360,38786,42539,-3753,8961,18917,22720,10908,10858,34830,38024,-3194,7874,16625,20121,10331,10029,34264,39221,-4957,7910,16173,21273,10181,10038,34315,37065,-2750,6913,16840,20035,10562,10117,34813,36258,-1445,6981,17020,19104,10812,10173,39726,35456,4270,7181,21190,18573,11355,9702,31031,33661,-2630,5921,15157,18036,9953,9704,29208,32928,-3720,5703,14256,17822,9249,9403,28329,30663,-2334,5551,14089,16214,8689,8898,26001,29398,-3397,4935,12530,15681,8536,8782,24676,30007,-5331,4921,11803,16405,7952,8681,24191,27484,-3293,4507,11243,14657,8441,8320,24951,27470,-2519,4617,11846,14426,8488,8427,23604,26386,-2782,4145,11135,13913,8324,8328,28020,25814,2206,4512,14610,13178,8898,8124,23187,24798,-1611,3807,11098,12793,8282,8198,22271,23945,-1674,3443,10560,12982,8268,7520,23632,25254,-1622,3355,11704,13881,8573,8018,22204,24428,-2224,3223,11004,13008,7977,8197
"중구",1442,1464,-22,211,725,784,506,469,1266,1239,27,161,638,683,467,395,1289,1244,45,184,602,648,503,412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26660,38829,-12169,6795,12634,21603,7231,10431,24979,36935,-11956,6948,11279,20965,6752,9022,23540,29732,-6192,5084,11663,16461,6793,8187,20232,24874,-4642,3755,10544,14052,5933,7067,32641,29424,3217,6895,17495,15649,8251,6880,43248,29437,13811,7871,25388,14567,9989,6999,33129,31884,1245,5967,18303,17666,8859,8251,30513,35942,-5429,6912,15289,19829,8312,9201,26309,30244,-3935,5097,13426,16907,7786,8240,23384,26178,-2794,4180,12027,14526,7177,7472,24481,26563,-2082,4531,12432,14641,7518,7391,27521,27483,38,4992,14546,14819,7983,7672,25871,27222,-1351,4910,13374,14476,7587,7836,30294,30752,-458,6496,16260,16419,7538,7837,23419,25006,-1587,4173,11980,13614,7266,7219,23524,24766,-1242,4296,12336,13273,6892,7197,23613,23618,-5,4383,12710,12349,6520,6886,24872,25198,-326,4832,13064,13252,6976,7114,19191,22508,-3317,3608,9623,12152,5960,6748,20105,22972,-2867,3967,10018,12323,6120,6682,20078,22950,-2872,4070,10073,12126,5935,6754,20595,21655,-1060,3844,10582,11618,6169,6193,20904,20574,330,3338,11189,11319,6377,5917,20771,20873,-102,3424,10733,11100,6614,6349,19623,19384,239,3191,9912,10464,6520,5729,20777,21733,-956,3290,10760,11997,6727,6446,19917,21126,-1209,3015,10378,11274,6524,6837
"용산구",3150,3035,115,746,1472,1356,932,933,2760,2596,164,569,1282,1150,909,877,2496,2474,22,467,1197,1148,832,859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45834,58059,-12225,12567,20000,25824,13267,19668,45962,54301,-8339,12036,19766,24022,14160,18243,44464,55047,-10583,13048,17738,24596,13678,17403,46111,45799,312,10747,21431,20230,13933,14822,50279,53228,-2949,12684,21674,24640,15921,15904,52288,51565,723,12621,23414,23976,16253,14968,52052,52527,-475,13247,23288,23590,15517,15690,47347,54582,-7235,12074,20404,25861,14869,16647,46888,49453,-2565,11573,21401,23061,13914,14819,43385,45877,-2492,11010,18775,20790,13600,14077,44988,45420,-432,10664,20283,20669,14041,14087,52581,51552,1029,12852,22998,23272,16731,15428,52200,49800,2400,12353,23516,22294,16331,15153,49673,48616,1057,10964,23203,22356,15506,15296,44827,45337,-510,9596,20557,21040,14674,14701,40673,44770,-4097,9341,18295,20165,13037,15264,45054,44509,545,10048,20960,19444,14046,15017,36702,41248,-4546,8504,16106,18001,12092,14743,34935,39623,-4688,8140,15304,17614,11491,13869,35618,40635,-5017,8454,15452,18266,11712,13915,37064,41361,-4297,9049,16549,18532,11466,13780,34124,38615,-4491,7881,14917,17371,11326,13363,35154,36622,-1468,7302,16054,16866,11798,12454,37339,37801,-462,7853,16999,16873,12487,13075,35099,35673,-574,6998,15746,16435,12355,12240,40282,38985,1297,7599,19374,18523,13309,12863,36011,39572,-3561,7113,16799,18922,12099,13537
"성동구",2725,3156,-431,559,1256,1651,910,946,2545,2908,-363,524,1152,1459,869,925,2706,2934,-228,542,1208,1407,956,985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62212,82549,-20337,17897,28138,38655,16177,25997,64889,79659,-14770,20110,28818,37055,15961,22494,60478,69353,-8875,16897,27911,32272,15670,20184,53064,58303,-5239,12746,25236,27136,15082,18421,90078,76164,13914,23790,44672,32988,21616,19386,70923,72588,-1665,18822,32467,35555,19634,18211,77707,79610,-1903,22377,35913,35794,19417,21439,73781,76417,-2636,20321,34090,35093,19370,21003,70192,73559,-3367,18762,32921,34199,18509,20598,59783,61921,-2138,15199,27285,28375,17299,18347,61936,65219,-3283,16413,27982,29774,17541,19032,65839,71284,-5445,18085,28964,33399,18790,19800,61098,64526,-3428,15072,28005,30290,18021,19164,56177,77955,-21778,17919,22872,40474,15386,19562,52050,60218,-8168,13015,23990,29920,15045,17283,46630,52843,-6213,11055,21479,24862,14096,16926,46631,56542,-9911,13129,20378,26901,13124,16512,48010,50610,-2600,12882,21433,22444,13695,15284,45399,47356,-1957,11302,21032,21460,13065,14594,46521,51349,-4828,12336,21559,23717,12626,15296,48105,49091,-986,12008,23324,21935,12773,15148,47629,46986,643,11320,23322,20542,12987,15124,50416,46031,4385,11151,25046,20756,14219,14124,51358,49012,2346,12243,24275,22031,14840,14738,39922,48102,-8180,8737,17927,24606,13258,14759,45153,53096,-7943,10312,20969,26826,13872,15958,39831,46075,-6244,7867,19106,22939,12858,15269
"광진구",4007,4326,-319,1077,1527,1838,1403,1411,3455,3609,-154,874,1373,1448,1208,1287,3496,3538,-42,928,1342,1377,1226,1233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86554,95456,-8902,26442,38436,37686,21676,31328,88556,91627,-3071,25698,38972,36534,23886,29395,91544,90302,1242,25754,41339,35940,24451,28608,74254,78931,-4677,19872,32012,32107,22370,26952,92613,101909,-9296,28476,37391,43539,26746,29894,84265,87942,-3677,24296,35193,37901,24776,25745,87604,94149,-6545,26937,35262,37893,25405,29319,89240,93480,-4240,27821,35862,36967,25557,28692,83007,86849,-3842,24698,33805,35590,24504,26561,69492,75591,-6099,19658,27923,31294,21911,24639,70132,77036,-6904,20416,27390,31738,22326,24882,80843,84015,-3172,23997,31716,33705,25130,26313,80713,81438,-725,23506,32052,32016,25155,25916,72506,76456,-3950,20276,29107,31759,23123,24421,70105,74075,-3970,20102,27623,30161,22380,23812,63624,69973,-6349,18517,24714,26928,20393,24528,62574,68014,-5440,18762,24587,26394,19225,22858,58688,61194,-2506,17181,22632,22889,18875,21124,56235,60597,-4362,16772,21261,23081,18202,20744,56778,64189,-7411,18540,20616,24713,17622,20936,58871,63920,-5049,18401,22949,23570,17521,21949,55362,60446,-5084,16943,21257,21770,17162,21733,56010,56647,-637,16364,22011,20936,17635,19347,55728,58774,-3046,17036,21274,21447,17418,20291,52191,57088,-4897,14861,19378,22499,17952,19728,55926,60703,-4777,15474,21585,24944,18867,20285,51522,56750,-5228,13736,20048,22708,17738,20306
"동대문구",3450,3536,-86,833,1451,1462,1166,1241,2969,3053,-84,668,1197,1274,1104,1111,3068,3178,-110,666,1218,1408,1184,1104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80839,108542,-27703,30926,29179,47069,20734,30547,75147,98923,-23776,27824,26926,43650,20397,27449,76122,89577,-13455,26822,28680,36845,20620,25910,59402,71949,-12547,17554,22914,31948,18934,22447,79112,91951,-12839,27267,29662,40131,22183,24553,98126,87389,10737,33667,41090,33136,23369,20586,87547,88263,-716,30265,35514,35148,21768,22850,86136,87745,-1609,30469,33994,34035,21673,23241,89445,89483,-38,31294,35544,34817,22607,23372,68461,73090,-4629,22550,25537,29520,20374,21020,76336,75764,572,24404,31038,29630,20894,21730,76916,80539,-3623,25653,29457,31778,21806,23108,77895,82022,-4127,26227,29953,32095,21715,23700,69935,78269,-8334,24004,26586,32230,19345,22035,63640,73484,-9844,20892,24274,31475,18474,21117,57780,61558,-3778,15897,24186,25651,17697,20010,57586,60047,-2461,16392,24043,24460,17151,19195,51643,54915,-3272,13798,20956,22422,16889,18695,56066,56084,-18,16464,22709,21505,16893,18115,57915,59658,-1743,18216,23219,22990,16480,18452,55990,60917,-4927,17367,22257,23826,16366,19724,49591,55622,-6031,14207,19652,22181,15732,19234,47899,52733,-4834,13489,18879,21618,15531,17626,54899,57605,-2706,15918,21820,22741,17161,18946,51660,53660,-2000,14093,20655,22474,16912,17093,54908,58135,-3227,14233,22290,24953,18385,18949,48955,51031,-2076,10881,20389,21435,17685,18715
"중랑구",4047,4179,-132,1440,1469,1304,1138,1435,3339,3523,-184,1129,1270,1143,940,1251,3366,3547,-181,1083,1347,1102,936,1362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100756,109015,-8259,37900,40369,35757,22487,35358,125732,107448,18284,42261,58218,31349,25253,33838,93898,102009,-8111,34441,35884,32901,23573,34667,76744,87947,-11203,27218,27924,29687,21602,31042,100057,109259,-9202,38387,35725,36946,25945,33926,94184,101593,-7409,35949,33549,35809,24686,29835,92984,105281,-12297,37012,31754,36504,24218,31765,96601,105550,-8949,38881,33891,35064,23829,31605,93780,100729,-6949,37956,32689,33626,23135,29147,77966,81753,-3787,29348,27790,27047,20828,25358,73971,82408,-8437,28655,26004,27580,19312,26173,85105,88396,-3291,33065,29456,28442,22584,26889,86931,88596,-1665,33827,30616,27444,22488,27325,79115,80820,-1705,29741,28926,25691,20448,25388,70325,75714,-5389,26849,24345,24114,19131,24751,69532,75310,-5778,27296,24441,22713,17795,25301,65150,70397,-5247,25683,22676,22123,16791,22591,60157,66109,-5952,23447,20288,20098,16422,22564,61677,65539,-3862,24314,21331,19517,16032,21708,69157,68497,660,27759,25390,19459,16008,21279,64638,71284,-6646,27773,22351,20339,14514,23172,60566,64823,-4257,24608,21351,17417,14607,22798,56385,59947,-3562,22111,20569,16619,13705,21217,54168,59616,-5448,20671,19406,16476,14091,22469,49446,55932,-6486,18412,17726,17050,13308,20470,60214,62212,-1998,22003,23717,18719,14494,21490,52867,57957,-5090,19004,20585,17493,13278,21460
